sample_id,proba,pred,y
GSM1301871,0.0598297119140625,0.0,0
GSM1301880,0.11395149677991867,0.0,0
GSM1301970,0.0883094072341919,0.0,0
GSM1301973,0.10611912608146667,0.0,0
GSM1301974,0.04802853986620903,0.0,1
GSM1301975,0.08986126631498337,0.0,0
GSM1301976,0.048026151955127716,0.0,0
GSM1301977,0.3298366367816925,0.0,0
GSM1301978,0.16869835555553436,0.0,0
GSM1301881,0.10879069566726685,0.0,1
GSM1301980,0.19070540368556976,0.0,1
GSM1301981,0.16777275502681732,0.0,0
GSM1301982,0.02577410265803337,0.0,0
GSM1301983,0.26975637674331665,0.0,0
GSM1301984,0.05862642824649811,0.0,0
GSM1301985,0.10963428020477295,0.0,0
GSM1301986,0.09202038496732712,0.0,0
GSM1301988,0.0862884670495987,0.0,1
GSM1301989,0.05117053538560867,0.0,0
GSM1301882,0.30262237787246704,0.0,1
GSM1301990,0.04446215555071831,0.0,0
GSM1301883,0.08359254896640778,0.0,0
GSM1301885,0.013219300657510757,0.0,0
GSM1301887,0.012263146229088306,0.0,0
GSM1301893,0.04858311265707016,0.0,0
GSM1301894,0.12571115791797638,0.0,1
GSM1301895,0.02522680163383484,0.0,0
GSM1301896,0.07862721383571625,0.0,0
GSM1301897,0.13582876324653625,0.0,0
GSM1301898,0.02663356624543667,0.0,0
GSM1301899,0.05317551642656326,0.0,0
GSM1301873,0.10532888025045395,0.0,0
GSM1301900,0.2564980089664459,0.0,0
GSM1301903,0.06126793101429939,0.0,0
GSM1301904,0.016162939369678497,0.0,1
GSM1301906,0.02749844454228878,0.0,0
GSM1301907,0.12100162357091904,0.0,0
GSM1301908,0.1310717612504959,0.0,0
GSM1301909,0.015594827942550182,0.0,0
GSM1301874,0.7713295221328735,1.0,0
GSM1301911,0.013580240309238434,0.0,0
GSM1301912,0.06539908796548843,0.0,0
GSM1301913,0.028877999633550644,0.0,0
GSM1301914,0.18135467171669006,0.0,0
GSM1301915,0.03927314281463623,0.0,0
GSM1301916,0.1323380023241043,0.0,0
GSM1301917,0.04254119470715523,0.0,0
GSM1301918,0.028345627710223198,0.0,0
GSM1301919,0.022637369111180305,0.0,0
GSM1301875,0.04651544615626335,0.0,0
GSM1301921,0.14440159499645233,0.0,0
GSM1301922,0.025689056143164635,0.0,0
GSM1301923,0.06248026341199875,0.0,0
GSM1301924,0.033691879361867905,0.0,0
GSM1301926,0.02952004224061966,0.0,0
GSM1301927,0.04170936718583107,0.0,1
GSM1301928,0.06644129008054733,0.0,0
GSM1301929,0.031473103910684586,0.0,0
GSM1301876,0.13860146701335907,0.0,1
GSM1301930,0.06099231541156769,0.0,1
GSM1301931,0.03037000074982643,0.0,0
GSM1301932,0.45299819111824036,0.0,1
GSM1301933,0.04059288650751114,0.0,0
GSM1301934,0.0829896479845047,0.0,0
GSM1301935,0.02954198233783245,0.0,0
GSM1301936,0.1253305822610855,0.0,0
GSM1301937,0.1250285804271698,0.0,0
GSM1301938,0.09521102905273438,0.0,0
GSM1301939,0.056468069553375244,0.0,0
GSM1301877,0.09190748631954193,0.0,0
GSM1301940,0.11734411865472794,0.0,0
GSM1301941,0.04318807274103165,0.0,1
GSM1301942,0.008829304948449135,0.0,0
GSM1301943,0.04846516251564026,0.0,0
GSM1301944,0.07178311794996262,0.0,0
GSM1301945,0.11723818629980087,0.0,0
GSM1301946,0.11681652814149857,0.0,0
GSM1301947,0.11195020377635956,0.0,0
GSM1301948,0.14241820573806763,0.0,1
GSM1301949,0.07880835235118866,0.0,1
GSM1301878,0.1094285249710083,0.0,0
GSM1301951,0.04428154602646828,0.0,0
GSM1301952,0.0141165591776371,0.0,1
GSM1301953,0.134775310754776,0.0,0
GSM1301954,0.028891175985336304,0.0,1
GSM1301955,0.04644174873828888,0.0,0
GSM1301956,0.05882132425904274,0.0,0
GSM1301957,0.0455474853515625,0.0,0
GSM1301959,0.0254262275993824,0.0,0
GSM1301879,0.033716700971126556,0.0,0
GSM1301960,0.03707261011004448,0.0,0
GSM1301961,0.013197945430874825,0.0,0
GSM1301962,0.06153786927461624,0.0,1
GSM1301963,0.04449889063835144,0.0,0
GSM1301964,0.06270275264978409,0.0,0
GSM1301965,0.3931652307510376,0.0,0
GSM1301966,0.2196122407913208,0.0,1
GSM1301967,0.039332833141088486,0.0,0
GSM1301968,0.04016438499093056,0.0,0
GSM1301969,0.0846354067325592,0.0,0
