sample_id,proba,pred,y
GSM2335598,0.9507579369918838,1.0,1
GSM2335597,0.961669209308511,1.0,1
GSM2335596,0.9894128043460348,1.0,1
GSM2335595,0.5047988104006937,1.0,1
GSM2335594,0.855236504492433,1.0,1
GSM2335593,0.646585890624861,1.0,1
GSM2335592,0.9225492482944089,1.0,1
GSM2335591,0.849267778941771,1.0,1
GSM2335590,0.8698962382804448,1.0,1
GSM2335589,0.41211782781829714,1.0,1
GSM2335588,0.6479394635074112,1.0,1
GSM2335587,0.8833882638527073,1.0,1
GSM2335586,0.909598211397067,1.0,1
GSM2335585,0.8853000932569454,1.0,1
GSM2335584,0.9251916112931485,1.0,1
GSM2335583,0.9352303554097032,1.0,1
GSM2335582,0.9092907035870645,1.0,1
GSM2335581,0.9462902971746067,1.0,1
GSM2335580,0.919898532388945,1.0,1
GSM2335579,0.9505429351433243,1.0,1
GSM2335578,0.9421196017310596,1.0,1
GSM2335577,0.967905323329223,1.0,1
GSM2335576,0.9634499095513555,1.0,1
GSM2335575,0.9655636077403019,1.0,1
GSM2335574,0.9784570260905905,1.0,1
GSM2335573,0.92883223267156,1.0,1
GSM2335572,0.8175884931939237,1.0,1
GSM2335571,0.7739182880807367,1.0,1
GSM2335570,0.2593717222291145,1.0,1
GSM2335569,0.8017741578550223,1.0,1
GSM2335568,0.4553119679761926,1.0,1
GSM2335567,0.563206841131118,1.0,1
GSM2335566,0.22375833316729624,1.0,1
GSM2335565,0.5296576485157408,1.0,1
GSM2335564,0.713416692021051,1.0,1
GSM2335563,0.8968822437508647,1.0,1
GSM2335562,0.9295865379289628,1.0,1
GSM2335561,0.8707197079978103,1.0,1
GSM2335560,0.881237575721892,1.0,1
GSM2335559,0.8982393930675588,1.0,1
GSM2335558,0.949138079616971,1.0,1
GSM2335557,0.8612921971266523,1.0,1
GSM2335556,0.878259509800303,1.0,1
GSM2335555,0.9778694362331664,1.0,1
GSM2335554,0.9893549353252772,1.0,1
GSM2335553,0.8813206622801368,1.0,1
GSM2335552,0.962701539527216,1.0,1
GSM2335551,0.9604896389198395,1.0,1
GSM2335550,0.8295690227245482,1.0,1
GSM2335549,0.9816552605547217,1.0,1
GSM2335548,0.812684848480489,1.0,1
GSM2335630,0.0020129381160270054,0.0,0
GSM2335629,0.012884716340224013,0.0,0
GSM2335628,0.002545642260177995,0.0,0
GSM2335627,0.011025975271443942,0.0,0
GSM2335626,0.04288557112710336,0.0,0
GSM2335625,0.06716087693096116,0.0,0
GSM2335624,0.0022770815933096074,0.0,0
GSM2335623,0.0687022224285771,0.0,0
GSM2335622,0.005383034238580422,0.0,0
GSM2335621,0.001978675370571362,0.0,0
GSM2335620,0.008919881357368539,0.0,0
GSM2335619,0.021418773335753268,0.0,0
GSM2335618,0.0175667968620273,0.0,0
GSM2335617,0.24352752321083898,1.0,0
GSM2335616,0.0369117044058882,0.0,0
GSM2335615,0.01596236678160374,0.0,0
GSM2335614,0.009143634183105313,0.0,0
GSM2335613,0.06043383670859123,0.0,0
GSM2335612,0.02279768205552491,0.0,0
GSM2335611,0.05415443464006145,0.0,0
GSM2335610,0.008930747446075261,0.0,0
GSM2335609,0.015654462309517603,0.0,0
GSM2335608,0.18881100109264967,0.0,0
GSM2335607,0.07793759665030711,0.0,0
GSM2335606,0.1405689159081471,0.0,0
GSM2335605,0.6394454309697273,1.0,0
GSM2335604,0.22910645080934686,1.0,0
GSM2335603,0.7191579759977091,1.0,0
GSM2335602,0.5967341690854152,1.0,0
GSM2335601,0.07290490395261741,0.0,0
GSM2335600,0.17441151685958825,0.0,0
GSM2335599,0.12421120261941479,0.0,0
