feature_id,stability,mean_importance,std_importance
ILMN_1751607__signal,1.0,0.15341091326103537,0.0094524971214255
ILMN_1762899__pvalue,1.0,0.13266943709418524,0.022356969805105983
ILMN_1751607__pvalue,1.0,0.12287505539369144,0.012683564909812728
ILMN_1806023__signal,1.0,0.10485006532116181,0.003918619154421591
ILMN_1669523__signal,1.0,0.10319735415970308,0.009056199350279239
ILMN_2150654__pvalue,1.0,0.1021861177576435,0.0063298979403766135
ILMN_1762899__signal,1.0,0.09676024532905544,0.007893859377867287
ILMN_1753111__pvalue,1.0,0.0956043549963287,0.00944851890162176
ILMN_1815205__pvalue,1.0,0.09343509196698993,0.017741218877010627
ILMN_2105573__pvalue,1.0,0.09308499592120072,0.012945135595165802
ILMN_2347298__pvalue,1.0,0.08929951312026843,0.02016012364220197
ILMN_1775708__pvalue,1.0,0.07818600232566233,0.006149831406041042
ILMN_1703123__pvalue,1.0,0.07802422315819124,0.006071129587285618
ILMN_2339955__pvalue,1.0,0.07426195636624985,0.010260465456331469
ILMN_1753111__signal,1.0,0.07311530700221991,0.005684004872816322
ILMN_2207291__pvalue,1.0,0.07295221141050331,0.007658346132702441
ILMN_1728106__pvalue,1.0,0.07284035372904464,0.00761626405217232
ILMN_1773154__pvalue,1.0,0.0650117509887744,0.0074301293163386425
ILMN_2382687__pvalue,1.0,0.06472009192765296,0.013312974233283275
ILMN_1659936__pvalue,1.0,0.06365098160705378,0.006736625370268673
ILMN_1795930__pvalue,1.0,0.05918649374441418,0.009161196704009725
ILMN_1718977__pvalue,1.0,0.05610126908858302,0.007082433922098272
ILMN_3235647__pvalue,1.0,0.05466478683366144,0.013038077729282607
ILMN_1663092__pvalue,1.0,0.052298049969031125,0.007009214525212344
ILMN_1658494__pvalue,1.0,0.05116458511741364,0.016603668707881977
ILMN_2096747__pvalue,1.0,0.04944407784243708,0.020471490276547002
ILMN_1717639__pvalue,1.0,0.04801655817748078,0.007005146728130669
ILMN_1658494__signal,1.0,0.043577257992959875,0.008511885213479219
ILMN_1705985__pvalue,1.0,0.0407137581434549,0.01017618596025705
ILMN_1781285__signal,1.0,0.04005464399870668,0.01068513466866387
ILMN_1782305__signal,1.0,0.039505632953274986,0.007331440093665316
ILMN_3245103__pvalue,1.0,0.035257968546226336,0.006522689609117638
ILMN_1686135__pvalue,1.0,0.03440984905953326,0.007965323739858504
ILMN_1773154__signal,1.0,0.032677536594025045,0.013183356483005296
ILMN_1720829__pvalue,1.0,0.032412088209227204,0.0039706211302715485
ILMN_1748124__pvalue,1.0,0.03239023373641804,0.004202595308808895
ILMN_2207291__signal,1.0,0.03199582859364188,0.007470487558601337
ILMN_1657769__pvalue,1.0,0.03147825647698468,0.011349861656802572
ILMN_3236653__pvalue,1.0,0.02623191448822896,0.010128466143417884
ILMN_3182451__pvalue,1.0,0.025028940521738742,0.01187413665310436
ILMN_1810214__signal,1.0,0.0249413793858904,0.011636732466425064
ILMN_1651278__pvalue,1.0,0.0236826218961189,0.007568815420965503
ILMN_3248703__pvalue,1.0,0.02301593688755042,0.006177847302063711
ILMN_1689525__pvalue,1.0,0.022258864334143542,0.01163971366608643
ILMN_1735014__signal,1.0,0.020845950715157817,0.007943465327510654
ILMN_2187830__pvalue,1.0,0.02077855747335568,0.01591858952467818
ILMN_1755075__pvalue,1.0,0.02027477609795186,0.009031466011367718
ILMN_1703123__signal,1.0,0.02024804846613208,0.013797128004070265
ILMN_1663751__pvalue,1.0,0.01903213532986102,0.009023000248013868
ILMN_1696911__pvalue,1.0,0.01773759126302064,0.005379032585782175
ILMN_2197365__signal,1.0,0.01697919294730496,0.008230909444500532
ILMN_1720088__pvalue,1.0,0.015408771757131979,0.005256975672099293
ILMN_2073235__pvalue,1.0,0.01532098098289284,0.006497312678456406
ILMN_3275771__pvalue,1.0,0.01523828004581652,0.00476297108647255
ILMN_1659936__signal,1.0,0.01330438526798434,0.01329656263493369
ILMN_1720829__signal,1.0,0.01234960854625232,0.007917121554272029
ILMN_2134538__pvalue,1.0,0.01196603666071618,0.0047279781779358005
ILMN_2038775__pvalue,1.0,0.01096970441180346,0.009226612924135316
ILMN_1775708__signal,1.0,0.01029511764064238,0.013611943051701082
ILMN_1702691__signal,1.0,0.00827952270086334,0.007327859497852184
ILMN_1672496__pvalue,1.0,0.00707943570465486,0.0062031127739270156
ILMN_3227315__pvalue,1.0,0.006823301536193099,0.0025547091831504
ILMN_2234016__pvalue,1.0,0.00634448304106304,0.004157581289649552
ILMN_1751615__pvalue,1.0,0.00615355880266306,0.0034891974417953185
ILMN_1746525__pvalue,1.0,0.0036173810743821795,0.0026009971487662145
ILMN_1782305__pvalue,0.8,0.0542389334126893,0.004181038899143676
ILMN_2197365__pvalue,0.8,0.0533810273683362,0.002359083665203036
ILMN_2086077__pvalue,0.8,0.04655516632687767,0.004130814801380037
ILMN_1775336__pvalue,0.8,0.04258288323076202,0.013726975329927987
ILMN_1654583__pvalue,0.8,0.03241380382242062,0.004791728041909758
ILMN_1684553__pvalue,0.8,0.029607013534302024,0.008782253772846176
ILMN_1719986__pvalue,0.8,0.029235405090434773,0.005817414875490773
ILMN_1696935__pvalue,0.8,0.026214621245120598,0.008072377544506565
ILMN_1802205__pvalue,0.8,0.024405972512711073,0.01898684458158139
ILMN_1661599__pvalue,0.8,0.022381230473448678,0.010390204418636206
ILMN_1769705__pvalue,0.8,0.01359917282610755,0.005178777242293625
ILMN_1681871__pvalue,0.8,0.012691880467763475,0.008440937799847068
ILMN_1750278__pvalue,0.8,0.010091323299587075,0.009643670914340426
ILMN_1746968__pvalue,0.8,0.007220058770063324,0.009544985287079914
ILMN_1711069__signal,0.8,0.00667546349287685,0.007432953369327266
ILMN_1760575__pvalue,0.8,0.004583769081999375,0.0054286802922346965
ILMN_1718977__signal,0.8,0.004575470186970675,0.002741114793469975
ILMN_1656011__pvalue,0.6,0.044829689903793934,0.00014508403023678478
ILMN_2188333__signal,0.6,0.033736081083111664,0.005395737563830819
ILMN_1744508__pvalue,0.6,0.03316813880529577,0.013880178166443928
ILMN_2355665__pvalue,0.6,0.027578076144949237,0.009276458446579377
ILMN_1766221__pvalue,0.6,0.024157287320787233,0.007165419043256772
ILMN_3246273__pvalue,0.6,0.023171354373589664,0.010861336759227428
ILMN_1679045__pvalue,0.6,0.019490580048739835,0.008551272577918103
ILMN_2373266__pvalue,0.6,0.0170182729265127,0.003977465848670471
ILMN_3244646__pvalue,0.6,0.016252488266785468,0.009492453814987823
